DATE,MONTH,YEAR,FIRST PRIZE
1,AUG,2564,910261
16,JULY,2564,556725
1,JULY,2564,713517
16,JUN,2564,691861
1,JUN,2564,292972
16,MAY,2564,684579
2,MAY,2564,501272
16,APR,2564,100787
1,APR,2564,472270
16,MAR,2564,890422
1,MAR,2564,835538
16,FEB,2564,424603
1,FEB,2564,912307
17,JAN,2564,384395
30,DEC,2563,803628
16,DEC,2563,201303
1,DEC,2563,100994
16,NOV,2563,972661
1,NOV,2563,506404
16,OCT,2563,286051
1,OCT,2563,837893
16,SEP,2563,244083
1,SEP,2563,999997
16,AUG,2563,945811
1,AUG,2563,569391
16,JULY,2563,873286
1,JULY,2563,347258
16,JUN,2563,516967
1,JUN,2563,831567
1,APR,2563,051095
16,MAR,2563,503446
1,MAR,2563,875938
16,FEB,2563,781403
1,FEB,2563,589227
17,JAN,2563,491774
30,DEC,2562,510541
16,DEC,2562,529924
1,DEC,2562,453522
16,NOV,2562,017223
1,NOV,2562,967375
16,OCT,2562,812564
1,OCT,2562,691197
16,SEP,2562,340388
1,SEP,2562,798787
16,AUG,2562,775476
1,AUG,2562,387006
15,JULY,2562,369765
1,JULY,2562,943647
16,JUN,2562,174055
1,JUN,2562,516461
16,MAY,2562,962526
2,MAY,2562,061324
16,APR,2562,570331
1,APR,2562,109767
16,MAR,2562,724628
1,MAR,2562,345650
16,FEB,2562,074824
1,FEB,2562,967134
17,JAN,2562,197079
30,DEC,2561,735867
16,DEC,2561,356564
1,DEC,2561,021840
16,NOV,2561,989903
1,NOV,2561,149840
16,OCT,2561,200515
1,OCT,2561,452643
16,SEP,2561,149760
1,SEP,2561,734510
16,AUG,2561,586117
1,AUG,2561,386602
16,JULY,2561,596324
1,JULY,2561,963623
16,JUN,2561,223131
1,JUN,2561,988117
16,MAY,2561,075629
2,MAY,2561,248038
16,APR,2561,739229
1,APR,2561,412073
16,MAR,2561,218559
2,MAR,2561,759415
16,FEB,2561,309915
1,FEB,2561,026853
17,JAN,2561,203823
30,DEC,2560,911234
16,DEC,2560,955596
1,DEC,2560,451005
16,NOV,2560,292391
1,NOV,2560,533726
16,OCT,2560,413494
1,OCT,2560,880714
16,SEP,2560,170143
1,SEP,2560,143224
16,AUG,2560,715431
1,AUG,2560,756519
16,JULY,2560,820327
1,JULY,2560,112360
16,JUN,2560,943142
1,JUN,2560,053630
16,MAY,2560,454891
2,MAY,2560,008656
16,APR,2560,816729
1,APR,2560,392785
16,MAR,2560,273863
1,MAR,2560,978453
16,FEB,2560,229116
1,FEB,2560,054672
17,JAN,2560,145157
30,DEC,2559,377712
16,DEC,2559,435286
1,DEC,2559,086069
16,NOV,2559,858383
1,NOV,2559,785438
16,OCT,2559,571947
1,OCT,2559,887102
16,SEP,2559,240650
1,SEP,2559,638684
16,AUG,2559,254004
1,AUG,2559,272932
16,JULY,2559,449764
1,JULY,2559,082460
16,JUN,2559,073816
1,JUN,2559,511825
16,MAY,2559,141737
2,MAY,2559,399459
16,APR,2559,221609
1,APR,2559,066720
16,MAR,2559,134918
1,MAR,2559,439686
16,FEB,2559,356364
1,FEB,2559,927800
17,JAN,2559,304371
30,DEC,2558,008217
17,DEC,2558,930255
1,DEC,2558,915350
16,NOV,2558,795283
1,NOV,2558,361211
16,OCT,2558,968630
1,OCT,2558,594825
16,SEP,2558,743148
1,SEP,2558,021094
16,AUG,2558,033363
1,AUG,2558,518677
16,JULY,2558,121507
1,JULY,2558,759049
16,JUN,2558,644742
2,JUN,2558,388881
16,MAY,2558,011421
2,MAY,2558,543466
16,APR,2558,506260
1,APR,2558,605704
16,MAR,2558,048151
1,MAR,2558,240237
16,FEB,2558,001864
1,FEB,2558,155537
16,JAN,2558,244351
30,DEC,2557,461704
16,DEC,2557,948354
1,DEC,2557,480449
16,NOV,2557,479804
1,NOV,2557,206608
16,OCT,2557,656409
1,OCT,2557,375615
16,SEP,2557,772269
1,SEP,2557,856763
16,AUG,2557,662842
1,AUG,2557,766391
16,JULY,2557,468728
1,JULY,2557,378477
16,JUN,2557,673920
1,JUN,2557,781198
16,MAY,2557,087523
2,MAY,2557,103297
16,APR,2557,153406
1,APR,2557,028866
16,MAR,2557,531404
1,MAR,2557,906318
16,FEB,2557,384245
1,FEB,2557,180149
16,JAN,2557,306902
30,DEC,2556,561072
16,DEC,2556,341767
1,DEC,2556,168795
16,NOV,2556,806925
1,NOV,2556,739804
16,OCT,2556,963289
1,OCT,2556,647882
16,SEP,2556,562684
1,SEP,2556,548123
16,AUG,2556,321327
1,AUG,2556,356435
16,JULY,2556,566996
1,JULY,2556,646905
16,JUN,2556,289673
1,JUN,2556,935489
16,MAY,2556,687125
2,MAY,2556,603458
16,APR,2556,843846
1,APR,2556,571688
16,MAR,2556,968433
1,MAR,2556,976241
16,FEB,2556,368257
1,FEB,2556,565566
16,JAN,2556,820981
30,DEC,2555,302358
16,DEC,2555,529524
1,DEC,2555,110443
16,NOV,2555,639500
1,NOV,2555,524694
16,OCT,2555,281343
1,OCT,2555,124025
16,SEP,2555,540143
1,SEP,2555,329997
16,AUG,2555,683877
1,AUG,2555,895590
16,JULY,2555,904050
1,JULY,2555,915900
16,JUN,2555,159373
1,JUN,2555,882727
16,MAY,2555,814418
2,MAY,2555,889501
16,APR,2555,583470
1,APR,2555,257562
16,MAR,2555,607064
1,MAR,2555,222518
16,FEB,2555,648684
1,FEB,2555,320605
16,JAN,2555,451445
30,DEC,2554,526402
16,DEC,2554,884178
1,DEC,2554,408147
16,NOV,2554,997777
1,NOV,2554,805540
16,OCT,2554,955756
1,OCT,2554,511052
16,SEP,2554,731198
1,SEP,2554,724533
16,AUG,2554,536960
1,AUG,2554,218756
16,JULY,2554,116556
1,JULY,2554,622953
16,JUN,2554,351276
1,JUN,2554,562370
16,MAY,2554,406417
2,MAY,2554,054136
16,APR,2554,825988
1,APR,2554,814931
16,MAR,2554,593331
1,MAR,2554,656037
16,FEB,2554,481746
1,FEB,2554,610089
16,JAN,2554,281062
30,DEC,2553,884112
16,DEC,2553,334380
1,DEC,2553,181752
16,NOV,2553,813993
1,NOV,2553,191100
16,OCT,2553,621377
1,OCT,2553,488372
16,SEP,2553,017422
1,SEP,2553,354656
16,AUG,2553,911097
1,AUG,2553,210008
16,JULY,2553,180387
1,JULY,2553,480239
16,JUN,2553,500104
1,JUN,2553,444874
16,MAY,2553,480012
2,MAY,2553,360371
16,APR,2553,211743
1,APR,2553,959517
16,MAR,2553,364222
1,MAR,2553,215227
16,FEB,2553,133707
1,FEB,2553,186312
16,JAN,2553,073577
30,DEC,2552,994304
16,DEC,2552,685141
1,DEC,2552,776980
16,NOV,2552,055986
1,NOV,2552,689140
16,OCT,2552,258487
1,OCT,2552,169387
16,SEP,2552,202912
1,SEP,2552,015865
16,AUG,2552,462933
1,AUG,2552,154986
16,JULY,2552,000816
1,JULY,2552,207542
16,JUN,2552,930456
1,JUN,2552,777661
16,MAY,2552,111411
2,MAY,2552,294452
16,APR,2552,368415
1,APR,2552,816578
16,MAR,2552,268812
1,MAR,2552,553091
16,FEB,2552,038730
1,FEB,2552,534533
16,JAN,2552,743212
30,DEC,2551,218596
16,DEC,2551,074114
1,DEC,2551,205434
16,NOV,2551,002612
1,NOV,2551,272028
16,OCT,2551,431277
1,OCT,2551,882911
16,SEP,2551,012377
1,SEP,2551,695993
16,AUG,2551,380377
1,AUG,2551,850348
16,JULY,2551,257374
1,JULY,2551,943671
16,JUN,2551,729111
1,JUN,2551,414875
16,MAY,2551,329231
2,MAY,2551,453011
16,APR,2551,982800
1,APR,2551,012653
16,MAR,2551,074946
1,MAR,2551,936685
16,FEB,2551,137054
1,FEB,2551,212684
16,JAN,2551,556010
30,DEC,2550,595411
16,DEC,2550,513501
1,DEC,2550,113410
16,NOV,2550,562481
1,NOV,2550,927907
16,OCT,2550,032988
1,OCT,2550,430667
16,SEP,2550,499336
1,SEP,2550,331810
16,AUG,2550,476207
1,AUG,2550,429924
16,JULY,2550,527384
1,JULY,2550,565151
16,JUN,2550,393194
1,JUN,2550,836393
16,MAY,2550,232897
2,MAY,2550,430374
16,APR,2550,405105
1,APR,2550,622780
16,MAR,2550,876763
1,MAR,2550,742425
16,FEB,2550,277859
1,FEB,2550,769925
16,JAN,2550,838739
30,DEC,2549,778584
16,DEC,2549,147977
1,DEC,2549,270052
16,NOV,2549,562856
1,NOV,2549,910957
16,OCT,2549,264825
1,OCT,2549,952335
16,SEP,2549,217948
1,SEP,2549,381761
16,AUG,2549,977486
1,AUG,2549,238654
16,JULY,2549,512434
1,JULY,2549,952890
16,JUN,2549,100935
1,JUN,2549,810850
16,MAY,2549,100344
2,MAY,2549,024554
16,APR,2549,038564
1,APR,2549,738365
16,MAR,2549,936177
1,MAR,2549,582473
16,FEB,2549,317009
1,FEB,2549,412729
16,JAN,2549,432747
30,DEC,2548,492955
16,DEC,2548,449565
1,DEC,2548,388551
16,NOV,2548,742518
1,NOV,2548,970577
16,OCT,2548,041072
1,OCT,2548,766482
16,SEP,2548,214768
1,SEP,2548,316933
16,AUG,2548,475560
1,AUG,2548,961633
16,JULY,2548,477452
1,JULY,2548,009554
16,JUN,2548,793070
1,JUN,2548,176893
16,MAY,2548,867134
2,MAY,2548,772467
16,APR,2548,119327
1,APR,2548,815753
16,MAR,2548,196345
1,MAR,2548,800751
16,FEB,2548,816422
1,FEB,2548,540054
16,JAN,2548,335022
30,DEC,2547,168858
16,DEC,2547,479372
1,DEC,2547,504658
16,NOV,2547,754622
1,NOV,2547,185966
16,OCT,2547,355858
1,OCT,2547,110866
16,SEP,2547,923373
1,SEP,2547,096597
16,AUG,2547,335921
2,AUG,2547,868990
16,JULY,2547,205588
1,JULY,2547,312471
16,JUN,2547,208713
1,JUN,2547,614144
16,MAY,2547,589207
2,MAY,2547,653403
16,APR,2547,705832
1,APR,2547,196391
16,MAR,2547,615366
1,MAR,2547,697483
16,FEB,2547,698002
1,FEB,2547,216822
16,JAN,2547,731342
30,DEC,2546,739447
16,DEC,2546,177947
1,DEC,2546,991307
16,NOV,2546,238511
1,NOV,2546,941438
16,OCT,2546,305500
1,OCT,2546,912040
16,SEP,2546,600589
1,SEP,2546,187813
16,AUG,2546,354771
1,AUG,2546,766098
16,JULY,2546,679545
1,JULY,2546,461414
16,JUN,2546,389872
1,JUN,2546,766066
16,MAY,2546,552784
2,MAY,2546,135603
16,APR,2546,892525
1,APR,2546,933164
16,MAR,2546,653062
1,MAR,2546,441022
17,FEB,2546,455578
1,FEB,2546,456370
16,JAN,2546,977085
30,DEC,2545,895196
16,DEC,2545,019682
1,DEC,2545,968422
16,NOV,2545,915344
1,NOV,2545,505498
16,OCT,2545,428641
1,OCT,2545,802505
16,SEP,2545,156050
1,SEP,2545,994200
16,AUG,2545,120108
1,AUG,2545,493438
16,JULY,2545,340264
1,JULY,2545,481447
16,JUN,2545,073261
1,JUN,2545,161149
16,MAY,2545,598714
2,MAY,2545,590664
16,APR,2545,522630
1,APR,2545,990543
16,MAR,2545,659152
1,MAR,2545,805590
16,FEB,2545,330853
1,FEB,2545,633270
16,JAN,2545,709670
30,DEC,2544,729367
16,DEC,2544,224675
1,DEC,2544,737022
16,NOV,2544,685706
1,NOV,2544,683472
16,OCT,2544,975005
1,OCT,2544,104154
16,SEP,2544,616426
1,SEP,2544,119067
16,AUG,2544,690135
1,AUG,2544,180597
16,JULY,2544,820715
1,JULY,2544,107987
16,JUN,2544,762394
1,JUN,2544,113311
16,MAY,2544,091982
2,MAY,2544,205095
16,APR,2544,140843
1,APR,2544,640998
16,MAR,2544,633616
1,MAR,2544,836537
16,FEB,2544,621267
1,FEB,2544,454703
16,JAN,2544,737016
30,DEC,2543,119451
16,DEC,2543,969676
1,DEC,2543,887956
16,NOV,2543,565311
1,NOV,2543,093182
16,OCT,2543,620662
1,OCT,2543,290582
16,SEP,2543,046251
1,SEP,2543,437367
16,AUG,2543,459013
1,AUG,2543,267540
16,JULY,2543,931342
1,JULY,2543,674071
16,JUN,2543,825696
1,JUN,2543,592761
16,MAY,2543,009315
2,MAY,2543,070715
16,APR,2543,836777
1,APR,2543,963948
16,MAR,2543,164311
1,MAR,2543,997833
16,FEB,2543,729816
1,FEB,2543,530213
16,JAN,2543,442183
30,DEC,2542,051108
16,DEC,2542,139853
1,DEC,2542,669281
16,NOV,2542,764354
1,NOV,2542,561335
16,OCT,2542,410227
1,OCT,2542,830676
16,SEP,2542,807506
1,SEP,2542,591344
16,AUG,2542,340998
1,AUG,2542,056860
16,JULY,2542,070416
1,JULY,2542,386441
16,JUN,2542,278794
1,JUN,2542,077626
16,MAY,2542,618818
2,MAY,2542,691483
16,APR,2542,625094
1,APR,2542,479957
16,MAR,2542,577278
2,MAR,2542,660214
16,FEB,2542,307213
1,FEB,2542,342860
16,JAN,2542,190611
30,DEC,2541,464147
16,DEC,2541,181813
1,DEC,2541,836569
16,NOV,2541,270744
1,NOV,2541,920846
16,OCT,2541,261080
1,OCT,2541,987844
16,SEP,2541,065720
1,SEP,2541,872795
16,AUG,2541,081784
1,AUG,2541,748493
16,JULY,2541,599991
1,JULY,2541,595123
16,JUN,2541,858076
1,JUN,2541,820088
16,MAY,2541,840043
2,MAY,2541,663807
16,APR,2541,146573
1,APR,2541,496930
16,MAR,2541,572701
1,MAR,2541,236864
16,FEB,2541,612897
1,FEB,2541,665959
16,JAN,2541,947195
30,DEC,2540,675704
16,DEC,2540,294240
1,DEC,2540,241559
16,NOV,2540,875462
1,NOV,2540,974201
16,OCT,2540,405124
1,OCT,2540,444413
16,SEP,2540,527514
1,SEP,2540,083537
16,AUG,2540,156967
1,AUG,2540,054272
16,JULY,2540,509691
1,JULY,2540,676573
16,JUN,2540,537146
1,JUN,2540,643997
16,MAY,2540,088067
2,MAY,2540,388437
16,APR,2540,551450
1,APR,2540,617629
16,MAR,2540,100474
1,MAR,2540,976779
16,FEB,2540,499884
1,FEB,2540,750792
16,JAN,2540,151995
30,DEC,2539,879454
